ImageName,Q1 Score,Q2 Score,Q3 Score,Q4 Score,Q5 Score,Q6 Score
FH-BH (1).jpg,65,65,53,40,41,30
FH-BH (12).jpg,58.285896,56,56,31,40,32
FH-BH (131).jpg,53.38611,50,63,48.79253,17.700901,31
FH-BH (29).jpg,54.266666,57,50,21.450413,42,11.847109
FH-BH (30).jpg,49.467575,47,43,20,25.237432,26.318314
FH-BH (31).jpg,66.52203,50,52,40,40,16.559399
FH-BH (44).jpg,59.7593,50,58,15.754137,40,38.07651
FH-BH (46).jpg,52.42008,70,51,40.52125,22.836946,20
FH-BH (47).jpg,66.61165,53,54,14.562395,19,16
FH-BH (55).jpg,61.38568,50,53,15,40,24.132484
FH-BH (56).jpg,56.52471,53,56,15.851591,30.861809,30.684525
FH-BH (6).jpg,49.810673,42.2346,49,16,37,19.540209
FH-BH (68).jpg,53.52915,50,52,40,20.271576,31
FH-BH (69).jpg,57.183617,47,47,59,31,36
FH-BH (7).jpg,54.809532,43,41,38.254745,16,19
FH-BH (70).jpg,65.366196,50,55,35.558544,38.49607,16.468311
FH-BH (80).jpg,68.38282,50,52,39,21.878548,21
FH-BH (83).jpg,54.545193,53,50,52,31.52511,19.735973
FH-BH (91).jpg,72.78984,80,70.44145,18,19.423304,19
FH-BH (92).jpg,70.95503,80,85,17,21.011858,20
FH-BH (93).jpg,68.43037,53.246906,49.33269,37,16,31.706657
FH-DL (105).jpg,86,80,79,30,21,15
FH-DL (106).jpg,67.7983,65,70,38.306892,18,30.698185
FH-DL (107).jpg,58.66608,50,51,41,39,27.29103
FH-DL (108).jpg,80,78,59.985065,50,38,32
FH-DL (119).jpg,66.18407,60,52,40,21,30.468842
FH-DL (120).jpg,65,56,61,40,36,15.604998
FH-DL (129).jpg,75,67,79,18,19,14.809223
FH-DL (130).jpg,76,80,82,27,26.289888,17
FH-DL (143).jpg,56,50,61,40,28.371204,24
FH-DL (144).jpg,52.21083,50,59,15.078245,22,16
FH-DL (145).jpg,52.51699,50,56,25.521421,16.60894,22
FH-DL (15).jpg,50.012333,52,56,36,30,36
FH-DL (153).jpg,61.67466,60,61,39,34,29
FH-DL (156).jpg,69.98885,60,60,46.51278,19,18
FH-DL (16).jpg,65,70,63,22,19,20.518288
FH-DL (165).jpg,48.551613,40,42,37.851925,49,48
FH-DL (166).jpg,57.51004,56.60596,58,42.79954,45,46
FH-DL (167).jpg,66,60,67,22,28,24.819454
FH-DL (180).jpg,78.97914,52.72073,60,27,30,32
FH-DL (181).jpg,65,65,53,40,41,30
FH-DL (189).jpg,58.285896,56,56,31,40,32
FH-DL (19).jpg,53.38611,50,63,48.79253,17.700901,31
FH-DL (190).jpg,54.266666,57,50,21.450413,42,11.847109
FH-DL (192).jpg,49.467575,47,43,20,25.237432,26.318314
FH-DL (20).jpg,66.52203,50,52,40,40,16.559399
FH-DL (26).jpg,59.7593,50,58,15.754137,40,38.07651
FH-DL (28).jpg,52.42008,70,51,40.52125,22.836946,20
FH-DL (36).jpg,66.61165,53,54,14.562395,19,16
FH-DL (379).jpg,61.38568,50,53,15,40,24.132484
FH-DL (43).jpg,56.52471,53,56,15.851591,30.861809,30.684525
FH-DL (477).jpg,49.810673,42.2346,49,16,37,19.540209
FH-DL (49).jpg,53.52915,50,52,40,20.271576,31
FH-DL (50).jpg,57.183617,47,47,59,31,36
FH-DL (52).jpg,54.809532,43,41,38.254745,16,19
FH-DL (56).jpg,65.366196,50,55,35.558544,38.49607,16.468311
FH-DL (63).jpg,68.38282,50,52,39,21.878548,21
FH-DL (75).jpg,54.545193,53,50,52,31.52511,19.735973
FH-DL (76).jpg,72.78984,80,70.44145,18,19.423304,19
FH-DL (87).jpg,70.95503,80,85,17,21.011858,20
FH-DL (88).jpg,68.43037,53.246906,49.33269,37,16,31.706657
FH-GZ (117).jpg,86,80,79,30,21,15
FH-GZ (19).jpg,67.7983,65,70,38.306892,18,30.698185
FH-GZ (24).jpg,58.66608,50,51,41,39,27.29103
FH-GZ (25).jpg,80,78,59.985065,50,38,32
FH-GZ (26).jpg,66.18407,60,52,40,21,30.468842
FH-GZ (27).jpg,65,56,61,40,36,15.604998
FH-GZ (35).jpg,75,67,79,18,19,14.809223
FH-GZ (36).jpg,76,80,82,27,26.289888,17
FH-GZ (37).jpg,52.707016,50,53,37,26.1702,18.26783
FH-GZ (46).jpg,52.716534,50,59.56295,23.31845,28.324663,18
FH-GZ (51).jpg,49.29267,43.54608,46,17,20.522625,15
FH-GZ (52).jpg,45.92417,40,47,55.321854,50,56
FH-GZ (53).jpg,57.8302,58.596863,52,44.38459,58,51
FH-GZ (54).jpg,54.42485,52,53,47,46,41
FH-GZ (6).jpg,57,53,56,35.92128,42.981457,41
FH-GZ (63).jpg,50.37568,50,51,41,29.50013,30
FH-GZ (64).jpg,50.855698,50,59,23,22.647865,18
FH-GZ (7).jpg,54.400383,52,58,44.811096,26.738768,21.343872
FH-GZ (8).jpg,65,65,53,40,41,30
FH-LYG (12).jpg,58.285896,56,56,31,40,32
FH-LYG (125).jpg,53.38611,50,63,48.79253,17.700901,31
FH-LYG (13).jpg,54.266666,57,50,21.450413,42,11.847109
FH-LYG (14).jpg,49.467575,47,43,20,25.237432,26.318314
FH-LYG (15).jpg,66.52203,50,52,40,40,16.559399
FH-LYG (2).jpg,59.7593,50,58,15.754137,40,38.07651
FH-LYG (20).jpg,52.42008,70,51,40.52125,22.836946,20
FH-LYG (21).jpg,66.61165,53,54,14.562395,19,16
FH-LYG (22).jpg,61.38568,50,53,15,40,24.132484
FH-LYG (25).jpg,56.52471,53,56,15.851591,30.861809,30.684525
FH-LYG (28).jpg,49.810673,42.2346,49,16,37,19.540209
FH-LYG (29).jpg,53.52915,50,52,40,20.271576,31
FH-LYG (30).jpg,57.183617,47,47,59,31,36
FH-LYG (31).jpg,54.809532,43,41,38.254745,16,19
FH-LYG (6).jpg,65.366196,50,55,35.558544,38.49607,16.468311
FH-NB (15).jpg,68.38282,50,52,39,21.878548,21
FH-NB (169).jpg,54.545193,53,50,52,31.52511,19.735973
FH-NB (21).jpg,72.78984,80,70.44145,18,19.423304,19
FH-NB (22).jpg,70.95503,80,85,17,21.011858,20
FH-NB (3).jpg,68.43037,53.246906,49.33269,37,16,31.706657
FH-NB (4).jpg,86,80,79,30,21,15
FH-NB (486).jpg,67.7983,65,70,38.306892,18,30.698185
FH-NB (491).jpg,58.66608,50,51,41,39,27.29103
FH-NB (6).jpg,80,78,59.985065,50,38,32
FH-QD (1).jpg,66.18407,60,52,40,21,30.468842
FH-QD (10).jpg,65,56,61,40,36,15.604998
FH-QD (100).jpg,75,67,79,18,19,14.809223
FH-QD (101).jpg,76,80,82,27,26.289888,17
FH-QD (102).jpg,68,61,60,13.598988,25,21
FH-QD (103).jpg,75.54111,70,74,30,21,20.364067
FH-QD (104).jpg,63.13347,60,62,21,26,19
FH-QD (107).jpg,87,85,90,15,16,18
FH-QD (108).jpg,90,86,89,21.9435,25,22.383278
FH-QD (113).jpg,59,55,50,40,39,35
FH-QD (118).jpg,67,62,64,25,23.873497,16.748219
FH-QD (119).jpg,77.92572,65,70,27,28.892334,31.189045
FH-QD (123).jpg,69,64,70,15,20,18.31697
FH-QD (125).jpg,59,60,60,27,20,24
FH-QD (126).jpg,56.54886,54.93818,52,32,31.805841,38
FH-QD (127).jpg,50.934517,57,52,19,23,15
FH-QD (128).jpg,54,57,60,18,27.436743,21
FH-QD (133).jpg,58.979095,53.985096,53,24,34.233273,19.821304
FH-QD (134).jpg,53.34809,51.75594,60,17.678564,15.253238,14
FH-QD (135).jpg,65,59,63,16,20,25
FH-QD (138).jpg,64.0139,60,62,18,19.488092,27.84571
FH-QD (145).jpg,63,60,65,28.069181,26,18.880947
FH-QD (146).jpg,68,53,654,26.366858,20,18.77139
FH-QD (147).jpg,61.76346,60,64,20,24.529346,28.673939
FH-QD (148).jpg,62.32312,63,63,21,25,19
FH-QD (15).jpg,58,53,51,22,28,30
FH-QD (157).jpg,75,70,63,30,26,15
FH-QD (158).jpg,74.63894,70,62,28,17,18
FH-QD (16).jpg,65.11549,63.06982,63,21,30,21
FH-QD (163).jpg,88.06105,79.9518,,30,25,23
FH-QD (165).jpg,57.57171,52.281437,58,36,39.33506,30
FH-QD (173).jpg,58,56,54,38.090363,34,34.826096
FH-QD (174).jpg,56,53,58,17,20,17.013119
FH-QD (175).jpg,56,57,53,18,20,19
FH-QD (176).jpg,62.70208,52,61,18.871244,19,17
FH-QD (185).jpg,72.32497,60,51.21911,26,22.141253,16.864347
FH-QD (19).jpg,75.22804,60,53,30,23.043839,29
FH-QD (190).jpg,55.88293,53,52,16,20,21
FH-QD (191).jpg,59.532516,56,59,34,30,31
FH-QD (198).jpg,55.83895,50,62,20,27.720238,19
FH-QD (199).jpg,57.499504,54,56,15,20,23.606087
FH-QD (2).jpg,51.68138,53.611515,57,18,20,23
FH-QD (20).jpg,59.20806,53,54,15,24,30
FH-QD (28).jpg,57.09402,52,53,34,29,19.00674
FH-QD (29).jpg,77.444626,60,54,30,31,28
FH-QD (30).jpg,74.656166,51,60,,17.282768,15.726715
FH-QD (31).jpg,62.992226,63,60,16,20,22.320581
FH-QD (41).jpg,68.52035,50,58,20,19,15.829176
FH-QD (42).jpg,75.1082,60,73,30,18,24.860016
FH-QD (43).jpg,62.330177,60,53.062172,26,20,34
FH-QD (44).jpg,60.460342,58,51,18,26,36
FH-QD (47).jpg,51,50,52,24,30,32.113926
FH-QD (49).jpg,59,52,52,24.911121,17,16
FH-QD (50).jpg,53.697823,54,58,16,22.60986,17
FH-QD (51).jpg,53.204216,50,58,36,29,35
FH-QD (57).jpg,61.355797,54,59,38,34,25
